wavelength [um],"Bulb Spectra, No background"
0.329816,84.8
0.329853,76.8
0.329889,87.6
0.329926,90.8
0.329962,85.6
0.329998,94.8
0.330035,91.6
0.330071,82.4
0.330108,94.8
0.330144,86
0.33018,95.6
0.330217,84
0.330253,104.8
0.330289,92
0.330326,92.4
0.330362,88.8
0.330399,88
0.330435,91.6
0.330471,110.4
0.330508,99.2
0.330544,109.6
0.330581,94
0.330617,99.2
0.330653,103.6
0.33069,112
0.330726,90
0.330762,102.8
0.330799,101.6
0.330835,110.4
0.330872,101.2
0.330908,107.2
0.330944,106.8
0.330981,108
0.331017,109.6
0.331053,95.6
0.33109,106.8
0.331126,111.6
0.331163,110.8
0.331199,106.8
0.331235,100.4
0.331272,113.2
0.331308,112
0.331344,121.2
0.331381,119.2
0.331417,110.8
0.331454,115.2
0.33149,129.6
0.331526,120.4
0.331563,122
0.331599,128
0.331635,115.6
0.331672,118
0.331708,118
0.331744,123.6
0.331781,117.2
0.331817,106.4
0.331854,133.2
0.33189,132.8
0.331926,118.4
0.331963,126
0.331999,125.6
0.332035,130
0.332072,130.8
0.332108,124.4
0.332144,128.8
0.332181,133.2
0.332217,129.6
0.332253,134
0.33229,148
0.332326,139.6
0.332362,134
0.332399,141.2
0.332435,131.6
0.332472,132.4
0.332508,140.4
0.332544,140.4
0.332581,136.4
0.332617,139.6
0.332653,129.6
0.33269,150.8
0.332726,134.8
0.332762,133.6
0.332799,144.8
0.332835,148.4
0.332871,140.8
0.332908,145.6
0.332944,152
0.33298,143.6
0.333017,157.6
0.333053,136.4
0.333089,137.6
0.333126,156.4
0.333162,155.2
0.333198,158.8
0.333235,151.2
0.333271,160
0.333307,155.2
0.333344,156
0.33338,161.2
0.333416,154
0.333453,169.6
0.333489,160.4
0.333525,165.6
0.333562,165.6
0.333598,150
0.333634,178
0.333671,160
0.333707,170.4
0.333743,170.4
0.33378,157.6
0.333816,172.8
0.333852,156.4
0.333889,175.2
0.333925,176.8
0.333961,187.6
0.333998,176
0.334034,172.4
0.33407,165.2
0.334107,178.4
0.334143,176.4
0.334179,184.8
0.334216,167.6
0.334252,176.4
0.334288,186.4
0.334325,191.6
0.334361,162
0.334397,175.2
0.334434,172.4
0.33447,188
0.334506,188.8
0.334543,177.2
0.334579,192.8
0.334615,189.6
0.334651,194
0.334688,202.8
0.334724,193.2
0.33476,187.6
0.334797,178.4
0.334833,206
0.334869,186.4
0.334906,187.6
0.334942,182.8
0.334978,189.6
0.335015,184.8
0.335051,189.2
0.335087,199.6
0.335124,186.8
0.33516,194.8
0.335196,192.8
0.335232,193.6
0.335269,199.6
0.335305,224
0.335341,203.6
0.335378,202
0.335414,207.2
0.33545,192.4
0.335487,211.6
0.335523,210.8
0.335559,209.2
0.335595,212.4
0.335632,222.8
0.335668,211.2
0.335704,203.2
0.335741,219.2
0.335777,231.6
0.335813,220
0.33585,200
0.335886,200.4
0.335922,226.4
0.335958,196.8
0.335995,215.6
0.336031,208.8
0.336067,221.6
0.336104,220.8
0.33614,217.6
0.336176,205.6
0.336212,234.4
0.336249,224
0.336285,231.2
0.336321,224.4
0.336358,218.8
0.336394,224
0.33643,237.6
0.336466,230
0.336503,221.2
0.336539,226
0.336575,234
0.336612,222.8
0.336648,241.6
0.336684,240
0.33672,235.6
0.336757,221.2
0.336793,230.8
0.336829,241.6
0.336866,264.8
0.336902,237.6
0.336938,246.8
0.336974,230.8
0.337011,238.8
0.337047,242.4
0.337083,246.4
0.337119,231.6
0.337156,244.4
0.337192,243.6
0.337228,242.4
0.337265,249.2
0.337301,251.2
0.337337,245.6
0.337373,238
0.33741,245.2
0.337446,234
0.337482,234.8
0.337518,256.4
0.337555,254.4
0.337591,254
0.337627,233.2
0.337663,244
0.3377,274.4
0.337736,270.4
0.337772,241.2
0.337808,250.8
0.337845,252.8
0.337881,268.8
0.337917,274.8
0.337954,252.4
0.33799,256.4
0.338026,254.4
0.338062,263.6
0.338099,252.4
0.338135,247.2
0.338171,263.2
0.338207,255.6
0.338244,264.8
0.33828,276
0.338316,282.8
0.338352,267.6
0.338389,261.6
0.338425,249.2
0.338461,259.2
0.338497,268.8
0.338534,271.6
0.33857,274.8
0.338606,284.8
0.338642,279.2
0.338679,282.4
0.338715,257.6
0.338751,275.2
0.338787,285.6
0.338824,276.4
0.33886,275.6
0.338896,286.8
0.338932,272
0.338968,286.8
0.339005,282
0.339041,282.4
0.339077,298.4
0.339113,295.6
0.33915,297.2
0.339186,280.4
0.339222,294
0.339258,281.6
0.339295,295.2
0.339331,282.8
0.339367,303.2
0.339403,294.8
0.33944,298.8
0.339476,285.2
0.339512,299.2
0.339548,308
0.339584,311.2
0.339621,294.4
0.339657,297.2
0.339693,289.2
0.339729,314.4
0.339766,297.2
0.339802,304.4
0.339838,310.8
0.339874,292
0.339911,296.8
0.339947,285.2
0.339983,314.8
0.340019,313.6
0.340055,302.8
0.340092,312.8
0.340128,304.4
0.340164,321.2
0.3402,309.6
0.340237,300.8
0.340273,300.4
0.340309,324.8
0.340345,318.4
0.340381,305.6
0.340418,319.2
0.340454,296.4
0.34049,306.4
0.340526,308.8
0.340562,305.6
0.340599,314.8
0.340635,326
0.340671,309.6
0.340707,302.4
0.340744,310.8
0.34078,319.6
0.340816,313.6
0.340852,316.8
0.340888,328.8
0.340925,326.4
0.340961,322.8
0.340997,322
0.341033,334.8
0.341069,316.8
0.341106,306.4
0.341142,324.8
0.341178,332.4
0.341214,321.2
0.34125,317.2
0.341287,328.8
0.341323,312.4
0.341359,325.2
0.341395,326.4
0.341431,334
0.341468,325.6
0.341504,328.4
0.34154,330.8
0.341576,316
0.341612,346.4
0.341649,328.8
0.341685,335.6
0.341721,322.8
0.341757,342.8
0.341793,340
0.341829,340
0.341866,326
0.341902,344
0.341938,340
0.341974,349.6
0.34201,312.4
0.342047,341.6
0.342083,360.8
0.342119,342.4
0.342155,348.8
0.342191,326
0.342228,347.2
0.342264,332.4
0.3423,334.8
0.342336,345.6
0.342372,353.2
0.342408,355.2
0.342445,350.8
0.342481,356.8
0.342517,370.8
0.342553,352
0.342589,363.6
0.342625,342.8
0.342662,350.8
0.342698,354.4
0.342734,361.2
0.34277,355.2
0.342806,351.6
0.342843,346
0.342879,356
0.342915,376
0.342951,358
0.342987,355.6
0.343023,360.8
0.34306,363.6
0.343096,366.4
0.343132,365.2
0.343168,362.4
0.343204,362.8
0.34324,378.4
0.343277,358.4
0.343313,361.2
0.343349,374.4
0.343385,364.8
0.343421,371.2
0.343457,348.4
0.343494,382.8
0.34353,382.4
0.343566,362.8
0.343602,378
0.343638,360.4
0.343674,373.2
0.34371,357.2
0.343747,376.4
0.343783,367.6
0.343819,384.4
0.343855,392.4
0.343891,386.4
0.343927,383.6
0.343964,378.4
0.344,369.2
0.344036,360.8
0.344072,377.6
0.344108,366.8
0.344144,387.6
0.34418,386.8
0.344217,386.4
0.344253,371.2
0.344289,390.4
0.344325,396.8
0.344361,396.4
0.344397,390.8
0.344433,372.4
0.34447,394.8
0.344506,379.6
0.344542,376
0.344578,402
0.344614,381.2
0.34465,408.4
0.344686,382
0.344723,378
0.344759,391.2
0.344795,375.2
0.344831,378
0.344867,388.4
0.344903,388.8
0.344939,405.6
0.344975,404
